"FILTRO 04: Extração de características da solução, IA e otimização                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUATIDADE TOTAL DE ARTIGOS: 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTIDADE DE REMOVIDOS: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anotação: “Contexto geral de e-Health” é utilizado quando o artigo não especifica um cenário de aplicação, indicando que o foco está na infraestrutura de rede e na validação com dados de saúde para suporte a aplicações médicas em geral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tipo de Arquitetura,,,                                                Abordagem Computacional,,,                               Dinamicidade do Cenário,,Tipo de Classe,,,,,Tipo de Rede,,,              Algoritmo Implementado,,,Inteligência Artificial (IA),,                           NP-Difícil,,,,Abordagem de Otimização,,,,       Artefato de código e dados,,,
AI-Based Network Traffic Prioritization for Latency-Sensitive Applications in 6G Networks,X,,,,,Computação Orientada a Dados,Deep Learning,Cirurgia remota; Telemedicina,,X,X,X,X,,,X,X,,Não Especificado,Sim,Sim,Deep Learning,CNN; RNN,Não,None,Não,None,None,None,None,Não,None,None,None,
5G in healthcare: Matching game-empowered intelligent medical network slicing,,,X,,,Computação em Nuvem,Teoria dos Jogos,Cirurgia remota; Telemedicina; Transmissão de imagens médicas,,X,X,X,X,,,X,,,MT-VNE; Deferred Acceptance; Modified Shortest Path-based Algorithm,Sim,Não,None,None,Sim,Virtual Network Embedding (VNE),Sim,Heurística,Local Search,None,Dijkstra,Não,None,None,None,"Cita métodos metaheurísticos, como os algoritmos genéticos, apenas como exemplos de abordagens anteriores para lidar com a complexidade NP-difícil do problema."
"An Evaluation of e-Health Service Performance through the Integration of 5G IoT, Fog, and Cloud Computing",,X,X,X,,Computação em Névoa; Computação em Nuvem,Teoria das Filas,Telemedicina; Monitoramento de pacientes; Cirurgia remota,,X,X,X,X,,,X,,,M/M/i/J Queuing Model,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,
Network Slicing Modeling and Simulation on 5G Networks Using Virne,X,,,,,Computação Orientada a Serviços,Otimização Matemática,Cirurgia remota,,X,X,X,X,,,X,,,"ViNEYard (MIP, DR-VNE, RD-VNE)",Sim,Não,None,None,Sim,Virtual Network Embedding (VNE),Sim,Heurística,Local Search,None,DR-VNE; RD-VNE,Sim,Código,GitHub,https://github.com/geminilight/virne,
Harnessing 5G Networks for Health Care: Challenges and Potential Applications,X,,,,,Sistemas Baseados em Agentes,Machine Learning,Ambulância conectada; Telemedicina; Cirurgia remota,,X,X,X,X,,,X,X,,Não Especificado,Sim,Sim,Machine Learning,None,Não,None,Sim,Heurística,Greedy,None,Not Specified,Não,None,None,None,
Deep Learning-based Network Slice Recognition,X,,,,,Computação Orientada a Dados,Deep Learning,Contexto geral de e-Health,,X,X,X,X,X,,X,X,,Fully Connected Neural Network,Não,Sim,Deep Learning,Fully Connected Neural Network,Não,None,Não,None,None,None,None,Não,None,None,None,
Large-scale trialing of the B5G technology for eHealth and Emergency domains,X,,X,,,Computação em Borda,Machine Learning; Otimização Heurística,Resposta a emergências; Telemedicina; Monitoramento de pacientes; Treinamento cirúrgico,,X,X,X,X,,,X,X,,MobileNet V2; Routing Algorithms,Sim,Sim,Deep Learning,CNN; MobileNet V2,Não,None,Sim,Heurística,Local Search,None,Not Specified,Não,None,None,None,
Advantages of 5G Slicing Technology in the Internet of Things,X,,,,,Computação em Borda; Computação Orientada a Serviços; Computação em Nuvem,Otimização Heurística,Transmissão de imagens médicas; Cirurgia remota,,X,X,X,X,,,X,,,Particle Swarm Algorithm with Intelligent Termination,Sim,Sim,Computational Intelligence,PSO,Não,None,Sim,Metaheurística,PSO,None,Particle Swarm Optimization,Não,None,None,None,"Este artigo implementa uma técnica da mesma família dos AGs (metaheurística), mas utiliza a Otimização por Enxame de Partículas (PSO), e não Algoritmos Genéticos."
Emergency Telemedicine Mobile Ultrasounds Using a 5G-Enabled Application: Development and Usability Study,X,,,,,Computação em Nuvem,Modelagem Estatística,Ambulância conectada; Transmissão de imagens médicas; Resposta a emergências; Telemedicina,,X,X,X,X,,X,X,,,Não Especificado,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,
Network Slicing Mobility Aware Control to Assist Handover Decisions on e-Health 5G Use Cases,X,,X,,,Computação em Borda,Otimização Matemática,Ambulância conectada,,X,,,X,,,X,,,VIKOR,Sim,Não,None,None,Não,None,Sim,Heurística,Local Search,None,VIKOR,Não,None,None,None,
DeepCare: Deep Learning-Based Smart Healthcare Framework using 5G Assisted Network Slicing,X,,,,,Sistemas Baseados em Agentes,Deep Learning,Cirurgia remota; Telemedicina; Monitoramento de pacientes,,X,X,X,X,,,X,X,,Slice Backup Algorithm,Sim,Sim,Deep Learning; Machine Learning,CNN; DLNN; Random Forest,Não,None,Sim,Heurística,Local Search,None,Slice backup algorithm,Não,None,None,None,
5G-based smart healthcare system designing and field trial in hospitals,X,,X,,,Computação em Borda,Reinforcement Learning,Ambulância conectada; Telemedicina; Cirurgia remota,,X,X,X,X,,X,X,,,MARL-JTORA,Não,Sim,Reinforcement Learning,MARL-JTORA,Não,None,Não,None,None,None,None,Não,None,None,None,
Multi-service Single Tenant 5G Fronthaul Resource Orchestration Framework based on Network Slicing,X,,X,,,Computação em Névoa,Teoria dos Jogos; Modelagem Matemática,Contexto geral de e-Health,,X,X,X,X,,,X,,,Socially Optimal Allocation (SOA),Sim,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,Menciona Algoritmos Genéticos como uma técnica a ser utilizada para benchmarks em trabalhos futuros (na conclusão).
A security scheme for network slicing selection based on Pohlig-Hellman algorithm in smart grid,X,,X,,,Computação Orientada a Serviços; Computação em Nuvem; Computação Definida por Software,Criptografia,Telemedicina,,,X,X,X,,X,X,,,Pohlig-Hellman algorithm,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,
End-to-End Network Service Orchestration in Heterogeneous Domains for Next-Generation Mobile Networks,,,X,X,X,Computação em Nuvem,Otimização Heurística,Ambulância conectada; Resposta a emergências,,X,X,X,X,,X,X,X,,SOE; ROE; CROOE,Sim,Sim,Machine Learning,None,Não,None,Sim,Heurística,Local Search,None,Not Specified,Sim,Código,GitLab,https://gitlab.cttc.es/cttc-cnd/MESCAL; https://gitlab.cttc.es/cttc-cnd/ELECTRA,
DRIVE-B5G: A Flexible and Scalable Platform Testbed for B5G-V2X Networks,X,,X,,,Computação em Borda,Modelagem Matemática,Contexto geral de e-Health,,X,X,X,X,,,X,X,,Não Especificado,Não,Sim,Machine Learning,None,Não,None,Não,None,None,None,None,Sim,Código,GitHub,https://github.com/aligungr/UERANSIM,
A Field Test of 5G Enhanced Mobile Ultrasound with Network Slicing,X,,,,,Computação em Nuvem,Otimização Heurística,Ambulância conectada; Transmissão de imagens médicas; Telemedicina,,X,,X,,,,X,,X,Não Especificado,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,
Dynamic 5G Network Slicing for Telemedicine Systems,X,,X,,,Computação em Nuvem; Computação Orientada a Serviços; Computação Orientada a Dados; Computação Definida por Software,Otimização Matemática,Telemedicina; Ambulância conectada; Cirurgia remota,,X,X,X,X,,X,X,,,Dynamic Slicing for eMBB and uRLLC (Algorithm 1),Não,Não,None,None,Não,None,Sim,Heurística,Greedy,None,Not Specified,Não,None,None,None,
Feasibility Analysis of Fifth-generation (5G) Mobile Networks for Transmission of Medical Imaging Data,X,,,,,Computação em Borda,Modelagem Estatística,Transmissão de imagens médicas; Ambulância conectada,X,,,X,X,X,,X,,X,Não Especificado,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,
A 5G-Based eHealth Monitoring and Emergency Response System: Experience and Lessons Learned,,,X,,X,Computação em Borda,Otimização Heurística,Monitoramento de pacientes; Resposta a emergências; Ambulância conectada,,X,X,X,X,,X,X,,,Placement Algorithm,Sim,Sim,Deep Learning; Reinforcement Learning,None,Não,None,Sim,Heurística,Local Search,None,Placement algorithm,Sim,Código,GitHub,https://github.com/microsoft/MixedRealityToolkit-Unity,
